,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2017-07-16,90.0,64.0,93.0,50.0,69.0,42.0,85.0,64.0,66.0,88.0,53.0,70.0,66.0,77.0,28.0,28.0
2017-07-23,87.0,63.0,81.0,43.0,64.0,42.0,72.0,60.0,63.0,84.0,48.0,66.0,64.0,73.0,26.0,30.0
2017-07-30,87.0,61.0,85.0,39.0,73.0,43.0,93.0,64.0,58.0,80.0,59.0,71.0,68.0,81.0,26.0,24.0
2017-08-06,88.0,67.0,83.0,35.0,73.0,44.0,64.0,54.0,67.0,84.0,59.0,77.0,64.0,65.0,21.0,20.0
2017-08-13,90.0,68.0,91.0,42.0,76.0,44.0,70.0,51.0,74.0,87.0,54.0,68.0,69.0,100.0,41.0,22.0
2017-08-20,85.0,67.0,89.0,36.0,74.0,43.0,76.0,56.0,66.0,80.0,60.0,71.0,65.0,74.0,26.0,29.0
2017-08-27,84.0,68.0,78.0,35.0,73.0,47.0,72.0,76.0,73.0,88.0,51.0,69.0,65.0,81.0,39.0,31.0
2017-09-03,84.0,62.0,80.0,34.0,74.0,42.0,62.0,62.0,77.0,100.0,48.0,68.0,64.0,80.0,18.0,25.0
2017-09-10,80.0,61.0,85.0,33.0,69.0,42.0,65.0,75.0,67.0,88.0,55.0,73.0,67.0,75.0,14.0,16.0
2017-09-17,86.0,63.0,91.0,40.0,71.0,43.0,68.0,71.0,66.0,85.0,45.0,66.0,71.0,79.0,17.0,18.0
2017-09-24,86.0,59.0,81.0,37.0,77.0,45.0,76.0,68.0,59.0,77.0,49.0,67.0,78.0,82.0,22.0,29.0
2017-10-01,88.0,58.0,91.0,36.0,71.0,48.0,57.0,61.0,60.0,81.0,48.0,63.0,91.0,65.0,17.0,33.0
2017-10-08,88.0,60.0,91.0,42.0,71.0,45.0,66.0,64.0,66.0,82.0,64.0,71.0,73.0,88.0,29.0,42.0
2017-10-15,84.0,61.0,80.0,40.0,70.0,44.0,55.0,64.0,64.0,86.0,67.0,72.0,80.0,74.0,26.0,35.0
2017-10-22,86.0,61.0,84.0,33.0,68.0,44.0,69.0,56.0,67.0,79.0,61.0,71.0,71.0,76.0,27.0,31.0
2017-10-29,85.0,62.0,85.0,36.0,73.0,45.0,64.0,72.0,67.0,87.0,47.0,75.0,68.0,81.0,20.0,22.0
